MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English ,Unemployment_Rate,Median_Income ,Economically_active(%),Income_Deprivation,No_cars_household (%),no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000127,Bromley 001,22.35,18.18,22.53,22.44,14.5,38.9,16.8,17.5,19.2,33.6,80.5,5.1,9.7,4.8,9.2,25946,68.4,23.5,34.2,80.5,44,26.4,113.8,75.9,81.9
E02000128,Bromley 002,19.98,15.44,22.84,26.02,15.73,28.7,22.8,24.2,10.9,29,88.3,4.7,2.8,2.5,4.4,37117,74.1,14.9,18.7,85.7,52,22.7,98.1,80.7,82.5
E02000130,Bromley 004,19.32,16.54,26.9,25.76,11.47,54.3,18,21.4,12,35,69.5,6.6,16.4,6.7,7,34183,76.3,20.2,37.5,86.3,51.1,21.6,100.4,76.7,82.5
E02000131,Bromley 005,18.41,19.41,36.37,19.52,6.29,52.2,12,18.2,13.1,47.1,62.6,5.9,22,10.2,8.1,29839,77.9,27.5,51.4,87.2,49.7,21.4,93.9,76.6,82.9
E02000132,Bromley 006,13.46,19.05,30.47,21.61,15.42,51.3,10.4,22.2,8.1,48.5,80.5,7,6.8,5.7,5.7,36073,77.6,15.5,33.3,85.4,49.7,17.8,83.1,78.5,82.7
E02000133,Bromley 007,17.58,12.21,20.61,27.34,22.26,16.3,23.3,25.5,5.8,27.5,87.9,7.1,2.1,2.6,3.3,60333,71.5,4.9,10.5,85.5,53.7,16.2,96.8,80.4,83.1
E02000134,Bromley 008,17.8,17.9,29.3,21.48,13.52,56.6,17.3,21.2,9.9,40.3,83,5.9,5.1,5.8,5.7,35942,76.6,19.3,32.4,85.3,50.7,17.4,98.7,78.9,81.1
E02000135,Bromley 009,22.8,21.47,26.73,20.7,8.3,86.1,13,13.4,21.6,41.5,56.5,5.9,28.4,10.2,11.9,22604,68.6,40.3,53.9,82.4,45.5,26.5,104.4,73.6,81.8
E02000136,Bromley 010,19.71,15.97,16.69,25.05,22.57,12.5,20.1,22.5,11.2,29.5,85,8.1,3.9,2.6,5.8,34834,64.7,14.3,19.4,80.2,47.2,22.7,92.1,78.6,82.1
E02000137,Bromley 011,16.09,15,23.4,26.25,19.27,43.2,17.6,22.2,7.9,38.3,84.8,5.9,4,4.2,3.9,45204,74.4,10.6,21,85.6,50.7,17.3,95.2,78,81.4
E02000138,Bromley 012,13.27,14.4,24.46,25.21,22.66,38.9,14.3,22.6,5.4,42.6,85.7,5.7,3.9,4.9,3.4,49094,74.7,6.6,22.1,85.5,50.6,16,83.7,82.9,87.2
E02000139,Bromley 013,19.07,15.86,28.6,25.89,10.58,48.4,21.1,23.1,10.7,33.7,83.2,4.4,6.6,3.7,4.7,38704,78,16.3,26,87.7,53.3,21.8,91.3,78.7,84.6
E02000140,Bromley 014,25.51,18.74,20.81,21.54,13.41,42.9,19.1,15.5,19.4,33.5,84.3,3.3,8.4,4,9.4,23489,65.9,26.3,33.8,80.6,44.4,27.4,105.2,76.5,81.9
E02000141,Bromley 015,20.27,17.19,28.13,23.98,10.43,75.6,18.8,19.9,13.2,37,69.6,6.4,16.6,5.6,7.4,32858,77,19.4,33.6,86.7,49.1,23.8,105.4,77.6,83.7
E02000142,Bromley 016,20.42,14.51,23.33,25.76,15.98,47,25.8,24,9.4,27.5,85.2,7,3.5,3.7,4.1,45498,73.8,10.1,18,86.2,53.6,20.1,99.1,78.9,81.5
E02000144,Bromley 018,19,16.74,26.59,23.48,14.2,44.8,21.4,22.6,9.2,33.4,80.4,8.2,4.7,6.2,5.1,44725,78,8.1,24.5,88.5,53.5,17.9,89.6,82.5,87.1
E02000145,Bromley 019,25.61,18.02,22.19,21.44,12.74,7.4,18,17.8,20.4,31.7,80.7,3.4,11.4,4.3,9.6,24228,66.4,24.7,32.6,82.7,45.4,28.4,121.8,76.5,81.9
E02000146,Bromley 020,20.37,14.57,26.02,23.25,15.79,47.8,23.5,20.8,10,33,86.9,5.4,3.3,3.5,4.4,37735,77,15.7,22.7,85.3,52.6,21,92.2,77.7,81.7
E02000147,Bromley 021,19.63,13.55,16.19,30.94,19.69,35.7,25.8,24.6,6,27.2,85.8,7.1,2.5,3.6,3.9,55508,70,3.9,14.3,87,54.9,17.9,85.4,84.5,89.1
E02000148,Bromley 022,19.54,13.17,19.15,27.67,20.47,23.6,25,24.6,8.1,24.6,88.7,5.9,2.4,2.7,3.9,50081,70.5,8.3,14.4,86.2,53.1,19.9,83.7,81.1,90.1
E02000149,Bromley 023,21.46,15.75,21.17,26.28,15.33,41.5,19.1,22.7,15.3,29.9,88.1,3.8,5.2,2.9,7,29404,71.1,15.8,25.2,83,45.7,25.3,100.1,80.1,83.1
E02000150,Bromley 024,21.84,14.93,18.57,29.54,15.11,27.7,28.7,22.5,11,23.4,83.6,4.9,6.2,2.6,3.9,43369,72.9,8.6,16.3,86.5,53.3,23.5,83.8,81.8,86.8
E02000151,Bromley 025,19.03,12.05,20.04,27.61,21.27,36.1,25.6,27.5,6.7,20.8,91.1,5.1,1.4,2.4,3.4,52696,68.6,4.9,12.7,86.1,50.9,20.7,91.8,85,87.4
E02000152,Bromley 026,22.47,16.75,20.65,24.94,15.19,26.6,20.6,18.6,19.1,28,84,5,6.1,4.2,8,29543,69.4,23.9,26.8,81.9,47.4,24.5,102.2,78.2,83.9
E02000153,Bromley 027,21.43,14,18.38,29.68,16.51,34.6,29.9,25.5,9.3,20,91.5,3.3,2.4,1.2,3.2,47622,73.3,8.7,11.5,88.2,53.8,22.3,98.4,80.1,88.5
E02000154,Bromley 028,17.89,16.76,18.98,28.21,18.16,38.7,21.2,24.5,9.6,27.8,87,7.2,3,2.9,4.5,40860,72,10,20.7,85.6,50.7,20.8,80.7,81.5,85.8
E02000155,Bromley 029,15.87,14.31,17.68,27.86,24.27,38.2,16.5,24.2,9.9,31.7,89.6,4,4,2.3,5.6,32409,69.3,11.4,21.5,80.5,43.9,25.5,98.7,79.9,83.4
E02000156,Bromley 030,19.03,14.47,16.26,29.27,20.98,31.6,25.6,23.4,8.5,25.4,89.4,4.3,2.5,1.9,3.5,46521,72.1,7.9,16.5,85.2,49.9,20.9,92.6,81.7,84
E02000157,Bromley 031,18.14,12.73,17.47,28,23.66,32.8,23.5,23.6,7.7,26.8,92,4.6,1,1.9,3.5,47996,69.9,5,14,84.8,50,20.5,87.2,82.9,89
E02000158,Bromley 032,21.48,15.37,17.37,25.04,20.74,34.5,20.2,22.9,13.7,24.4,87.8,3.4,5.3,3.2,6.8,33394,67.5,10.7,21.8,82.8,46.7,22.7,92.8,80.9,86.9
E02000159,Bromley 033,18.51,13.55,16.34,30.5,21.1,11.8,22.3,26.2,7.9,24.1,90.2,4.8,2,1.6,3.7,50127,69.2,3.7,10.2,85.8,52.6,21.3,91.4,84.1,87.5
E02000160,Bromley 034,19.86,15.24,16.98,30.46,17.46,9.4,27.1,27.1,7.9,23.3,93.5,2.1,1.5,1.1,4.1,44672,72.8,7.6,14.2,86.2,51.1,21.9,107.9,80.3,83.7
E02000161,Bromley 035,19.56,13.4,21.37,27.32,18.35,49.3,26.9,24.5,7.9,25.4,88.3,6.5,2.3,2.6,3.6,45001,72.7,6.7,13,86.5,51.1,21.9,87,83,86.5
E02000162,Bromley 036,18.71,12.98,18.63,26.36,23.32,5.3,20.1,20.6,10.6,31.7,90.5,5.2,1.7,2.6,4.5,35374,69,10.6,19.5,82.6,48.1,22.4,89.3,80.2,86.2
E02000163,Bromley 037,18.35,13.44,18.35,29.59,20.26,6.8,22.8,26.8,8.1,23.7,92.9,3.7,1.3,1.3,3.6,45352,71.8,9.2,11.9,86,51.8,22.3,86.5,81.9,86.3
E02000165,Bromley 039,20.28,16.54,20.57,29.78,12.83,12.6,25.3,30.2,10.7,20.4,95.3,1.4,1,0.9,4.2,35787,77.9,7.1,7.7,88.4,51.9,27.4,95.9,80.9,84.9
E02006782,Bromley 040,20.74,15.53,20.04,26.88,16.8,29.6,19.2,22.1,15.3,28.1,76.8,6.6,11,5,6.7,32275,70.4,12.7,25.4,82,46.4,23.7,95.6,79.1,83
E02006787,Bromley 041,21.99,13.89,24.26,26.74,13.12,51.2,26.7,23.6,10.8,26.8,84.5,4.9,5,3.3,4.7,40665,76.3,12.5,20.7,86.9,53,21.8,107.4,82.4,84.4
E02006789,Bromley 042,17.38,13.57,16.54,30.35,22.17,2.9,19.1,29.2,8.4,25.7,95.9,1.1,0.9,0.3,4.3,38750,69.5,9.3,10.3,84.2,49.2,25.1,92.9,82,85.6
E02000166,Camden 001,17.45,17.21,23.04,26.87,15.42,26.6,14.7,18.5,12,36.9,79.4,5.8,5.7,7.1,6.5,42650,70.6,18.9,48.2,83.3,51.2,16.5,86.8,83.4,84.5
E02000167,Camden 002,17.66,13.42,28.2,23.78,16.94,37,18.8,22.5,4.4,38,84.8,6.7,1.9,9.5,3.3,71771,75.8,11.7,41.3,89.5,62.1,11.2,101.9,82.4,87.3
E02000168,Camden 003,16.85,21.34,27.73,22.17,11.91,123.2,15.2,19.7,10,36,78.2,7.2,5.7,8.9,5.5,43197,74.7,27.6,55.5,85.1,53.1,15.2,107,74,78.6
E02000169,Camden 004,18.91,19.64,24.85,21.06,15.54,66.3,21.5,19.9,6.1,32.9,75.9,11.7,2.4,14.2,3.8,72851,67.7,12.8,32.4,90.2,61.6,11.7,95.2,81,83.6
E02000170,Camden 005,14.92,24.11,31.03,20.08,9.87,108.6,14.3,21.4,6.5,35.3,74.3,10.9,4.6,16,5,49795,78.1,20.9,49.4,89,57.2,12.6,94.1,78.5,83.9
E02000171,Camden 006,17.57,19.28,28.97,22.06,12.11,156.7,15.9,18.6,9.4,37.4,77.1,9.7,4.3,10,5.7,46318,74.5,22.2,51.3,86.3,55.7,14.2,85.3,82.7,89
E02000172,Camden 007,19.67,26.5,23.03,20.2,10.59,158.2,12.7,13,17.3,37.2,62.6,14.6,12,14.7,9.6,25248,62.4,41,66.6,80.2,46.5,21.3,110.5,73.5,80.9
E02000173,Camden 008,16.57,19.66,32.25,19.32,12.2,100.7,15.2,20.3,4.8,40.5,70.1,16,3.9,18.5,4.1,60006,75.9,19.3,52.9,89.2,60.3,12,99.3,79.6,85.3
E02000174,Camden 009,16.38,25.92,27.93,19.88,9.89,160.4,11.3,17.3,12.2,37.6,67.9,12.8,10.1,14.5,6.6,31969,71.9,41.8,62.8,84.7,50.4,16.7,110.2,74.5,82.3
E02000175,Camden 010,12.75,27.68,35.13,16.31,8.14,127.1,11,20.6,7.9,40.3,70.3,13.2,7.4,15.6,5.3,43267,78.6,32.2,58.8,88.2,56.3,13.2,86.5,80.2,83.3
E02000176,Camden 011,14.08,17.31,36.61,19.97,12.04,166.5,13.4,22.1,4,46.5,77.7,11.6,2.2,14.5,3.5,62063,79.6,16,54,90.2,59.3,12,79,87.2,86.9
E02000177,Camden 012,19.17,24.39,27,17.84,11.61,176.8,12,16.2,15.7,36.2,64,13.8,12.3,14.3,8.6,28690,67.8,39.9,64.5,81.5,48.3,17.9,111.5,79.3,80.6
E02000178,Camden 013,13.85,28.85,30.46,17.82,9.02,165,8.4,18.8,11.2,42.7,63.1,12.4,12.7,19.4,7.4,30067,73.3,43.6,66.3,83.1,49.6,16.9,105.7,75.5,81.9
E02000179,Camden 014,20.84,19.7,28.11,19.39,11.96,170.9,16,17.1,11.5,40,66.6,14.6,10,18.2,6.9,41716,71,25,52,87.7,56.3,13.9,99.2,82,83.3
E02000180,Camden 015,16.44,32.55,25.08,17.75,8.18,161.7,11.5,17.4,11,37.4,66.1,14.6,11,16.6,7.1,32416,66.7,38.3,63,86,52,16.1,119.3,77.2,84.3
E02000181,Camden 016,13.96,24.16,34.72,18.28,8.89,144.4,13.6,23.7,6.6,36.8,75.8,12.8,3.8,15,3.8,53974,79.7,24.8,51.4,89.8,59.6,12.1,105,80.5,84.6
E02000182,Camden 017,18.22,20.46,27.34,19.77,14.22,88.7,16.7,18.3,8.9,35.6,59.7,23.7,6.4,24.1,6.1,47092,67.2,24.5,49.9,86.5,53.8,14.2,102.9,82.1,84.1
E02000183,Camden 018,15.83,18.19,28.37,23.85,13.76,102.5,13.2,19,7,45.8,77.2,8.9,5.7,12.3,4.8,48659,71.5,28.8,53.1,85.6,55.7,15.1,100,80.5,85.6
E02000184,Camden 019,17.23,32.74,24.94,17.45,7.64,131.8,10.9,14.4,13.9,35.1,59,19.1,11.9,19.2,9.1,26058,63.5,42.2,70.2,83.5,48.6,18.7,104.5,75.8,82.7
E02000185,Camden 020,19.24,21.65,26.66,20.23,12.22,181.5,12.1,14.5,12.9,45.5,58,14.2,14.5,24.4,9.6,26410,67.8,46.7,68.6,81.1,47.1,18.9,114.1,72.4,80.1
E02000186,Camden 021,11.9,30.09,28.43,19.4,10.18,67.7,9,18.2,8.5,41.1,69.4,13.8,8.6,17.7,6.1,35370,69.3,33.3,67.5,85.2,55.3,15.9,90.8,74.4,83.2
E02000187,Camden 022,21.69,28.49,21.46,17.98,10.39,88.2,14.3,12,16.6,37.1,47.1,28.1,15,24.9,10.7,21851,55.9,49.1,73.4,80.3,45.1,22.2,97.1,76.3,81.6
E02000188,Camden 023,18.05,36.89,19.51,16.7,8.84,167,13.3,11.5,14.7,36.7,48.4,30.8,10.8,21.4,10.4,23234,53.5,50.7,73.2,83.6,50.6,19.5,106.2,76,80.9
E02000189,Camden 024,19.23,37,21.65,14.64,7.49,203.5,10.5,13.4,15.2,40.3,45.4,30.3,14.7,28.2,11.3,25620,55.7,46.6,75.7,86.1,54.1,16.7,94.4,77.4,81.9
E02000190,Camden 025,10.93,42.63,20.37,16.48,9.59,209.8,6.9,12.1,9.2,54.9,57,26.6,7.9,22.2,8.8,27809,50.8,36.8,82.5,84.5,51,14.1,91.9,77.5,81.8
E02000191,Camden 026,6.38,52.73,20.45,13.09,7.36,128.3,5,14.3,4.6,50.4,56.8,27.6,6.4,22.9,4.3,34232,50.6,30.4,78.1,90.4,59,11.5,93,83,83.7
E02000192,Camden 027,16.36,25.85,27.29,21.18,9.32,170.6,10.2,15.9,11.3,44.6,58.5,23.8,9,19.6,8.5,30782,67.6,40.6,73.6,83.2,49.6,17.6,89.3,76.6,86.6
E02000193,Camden 028,7.27,34.85,27.46,20.13,10.29,72.9,4.6,14.3,4.9,55.8,64.4,20.9,5.4,16.4,5.5,35144,65.5,27.1,77.4,86.3,53.1,13.7,102.3,80.1,82.7
E02000194,Croydon 001,19.87,17.8,30.5,21.64,10.19,64,13.7,18.2,16.2,40.5,60.4,8.9,20.8,9.2,8.4,31945,77.2,25.4,42.5,86.5,50,21.4,107.3,75.1,80.5
E02000195,Croydon 002,19.6,18.77,19.74,27.91,13.98,48.1,20.7,20.9,12.2,25.6,46.1,23,22.1,11.4,6.4,37134,71.2,15.5,24,86.3,47.5,23.2,85.7,80.9,81.9
E02000196,Croydon 003,19.98,22.94,19.52,24.79,12.78,61.3,18.4,17.5,16.9,24.1,35.6,28.7,26.6,14.3,9.1,29358,69,26.5,32.5,84.4,46.1,23.7,95,76.9,81.3
E02000197,Croydon 004,23.06,20.41,22.32,21.87,12.34,93.5,18.7,15.7,18,27.5,35.9,26.9,27.6,17.3,7.7,28768,70.8,25.2,38.4,85.4,47,23.5,100.3,79.3,84.2
E02000198,Croydon 005,25.54,18.67,24.08,23.3,8.41,91.6,15.9,12.1,22,35.4,37.3,13.7,38.8,12.2,10.1,25836,72.5,25.3,43.6,86.3,48.7,29.2,96.5,78.6,81
E02000199,Croydon 006,25.34,18.91,22.24,25.11,8.4,98.7,19.2,15.1,22.1,26.7,33.4,11.6,44.2,10.5,9.6,28685,74.6,20,37.1,87.7,48.9,29.3,118.9,79.8,83.2
E02000200,Croydon 007,20.71,18.4,26.43,24.72,9.74,67.4,13.3,15.7,17.1,40.7,45.8,9.7,34.1,9.8,10.1,27756,74.5,20.3,44.5,85.4,47.6,25.1,95.2,76.3,80.8
E02000201,Croydon 008,23.92,21.04,25.11,21.45,8.49,99.7,12.5,12.1,21.4,40.6,39.8,8.7,40.1,11.1,11.8,24270,73.1,29.3,51.3,84.8,46.4,28.1,110.2,77.4,84.5
E02000202,Croydon 009,21.81,21.1,20.79,24.73,11.57,116.3,18.6,16.4,16.5,25.4,24.8,32.9,33.9,17,8.5,27698,70.8,25.2,34.1,86,47,27.2,72.1,82.3,82.9
E02000203,Croydon 010,22.22,20.12,23.81,23.74,10.11,98,14.6,14.3,18.6,34.7,29.1,20.4,40,14.8,9.3,25648,71,31.4,48.4,84.9,46.5,29.5,94.3,77.5,80.4
E02000204,Croydon 011,23.79,21.58,20.77,22.81,11.04,86.7,18.4,17,18.2,22.8,20.3,39.4,31.6,18.9,8.6,27578,68.1,24.7,33.9,85.7,47.9,25.3,84.6,78.3,83.7
E02000206,Croydon 013,25.15,20.4,24.51,20.75,9.19,66.9,15,12.9,23.3,35,36.5,13.8,38.5,12.7,11,24553,71.2,28.1,49,84.6,46.3,28.4,94.2,77.8,83.2
E02000207,Croydon 014,25.39,20.42,23.65,22.65,7.89,74.5,18.7,13.3,22.7,32,46,10.7,32.5,7.4,10.5,26377,72,24.5,38.6,85.2,47.2,28.8,101.1,76.5,79.7
E02000208,Croydon 015,25.96,22.69,25.85,18.36,7.15,115.2,17.5,11.6,22.5,31.1,28.3,27.5,33.2,19.7,9.9,23258,69,42.5,49.3,85.2,47.7,27.4,108.1,72.4,79.9
E02000209,Croydon 016,27.07,19.97,24.57,20.85,7.55,83.8,24.1,14.2,20.8,22.9,27.7,39.3,24.9,21.9,8.8,25897,71.2,22.5,33.9,87.1,47.3,29,92.6,79.9,85.6
E02000210,Croydon 017,22,19.35,26.91,23.47,8.28,108.1,20.9,20.5,15.7,29.2,57.2,12.4,20.7,8.5,7.3,31270,76.5,17.6,33.4,87.9,47.8,26.3,91.1,80.5,82.6
E02000211,Croydon 018,17.33,16.93,17.98,29.16,18.61,48.5,20.2,23.8,10.9,27.6,74.6,10.9,8.8,3.8,4.9,40687,74.2,9.8,13.5,84.9,46.3,24.1,89,83,87
E02000212,Croydon 019,26.61,20.87,25.37,19.85,7.3,69.2,21.6,12.1,20.8,23.7,29.8,36.8,24.4,21.6,9.1,23897,70.6,34.6,44.2,87.2,46.7,27.7,100.1,77.3,84.4
E02000213,Croydon 020,22.89,23.56,27.21,18.88,7.47,93.3,14.6,12.9,19.8,36.9,33.3,25.7,29.4,18.6,11.2,23328,69.6,38.7,57,84.1,46.8,23.3,97.3,74.2,79.7
E02000214,Croydon 021,18.68,18.83,18.17,29.7,14.62,61.5,22.5,25.4,11,22.3,67.2,12.5,12.6,6.5,4.9,41062,74.2,8.7,23.6,85.7,48.2,23.1,89.4,81.6,83.7
E02000215,Croydon 022,16.95,22.74,30.36,19.48,10.47,105.7,14,18.2,10.8,41.9,54.5,20.7,14.6,14.2,7.3,29986,76.2,28.5,50.5,85.1,47.5,20,104.6,77.9,81.4
E02000216,Croydon 023,17.17,16.37,25.97,21.56,18.92,29.8,19.4,20.1,7,37.9,49.2,36.9,7.8,14.4,5.8,48844,71,13.5,35.1,84.1,47.4,14.3,93.6,81.8,82
E02000217,Croydon 024,21.83,22.93,27.82,20,7.42,71.2,16.8,18.7,17,33.9,52.3,15.8,20.2,14.2,7.7,27511,76.1,25.8,47.8,87.1,49.9,23.2,115.3,76.4,83.2
E02000218,Croydon 025,25.9,18.69,18.31,25.2,11.9,59.9,22.8,20.9,21.9,18.7,60,11.7,21.4,9.2,8.3,30242,69.6,13.1,29.1,85.9,49.1,26.4,86,80.7,84.3
E02000219,Croydon 026,15.95,16.15,14.57,31.94,21.39,13.5,20.7,27.7,6.6,25.1,74,13.7,7.5,3.4,4.1,47716,70.6,7.8,15.6,83.5,46.5,21.3,88.6,83.6,84.4
E02000220,Croydon 027,16.08,26.13,31.52,16.76,9.51,67.5,11.5,17.6,12.4,44,58.2,17.7,15.3,14.2,7.2,30075,78.2,23.9,50.5,85.4,49.9,18.4,103.3,76.3,79.5
E02000221,Croydon 028,23.78,19.41,23.5,21.97,11.34,36,18.5,16.6,20.4,29.8,53.8,16.7,19.9,10.9,7.8,27590,70.2,21.4,32,83.6,45.2,23.7,106.1,75.7,78.7
E02000222,Croydon 029,18.12,20.31,27.73,22.33,11.51,43.5,17.2,23.8,10,34,69.2,13.2,9.8,7.3,5.8,40759,77.6,14.1,30.1,87.3,52.5,19.1,110.5,79.3,86.8
E02000223,Croydon 030,33.31,21.13,20.16,16.52,8.88,87.8,21.3,11.8,35.2,18.3,61.6,4.1,25.3,8.3,14.3,19464,63.4,32.9,46,83.5,48.4,29.7,110,76.9,78.6
E02000224,Croydon 031,20.5,20.26,26.55,22.57,10.12,60.7,19.9,22.1,11.2,32.9,68.3,11.8,11.7,8,6.1,36609,78,14.2,29.4,88,51.4,19.7,112.2,78.1,86.7
E02000225,Croydon 032,24.96,18.74,18.53,25.55,12.22,47.3,19.8,21.3,22.8,20.9,77.7,3.6,13.9,4.4,9.2,23066,69.6,24.6,30.3,82.4,44.1,29.9,104.6,75.3,81.8
E02000226,Croydon 033,16.49,17.5,15.59,31.45,18.98,23.3,22.8,28.1,7.8,20.3,76.9,12.9,6.3,3.3,4.3,48232,71.6,6.5,11.3,85.9,49.1,21.8,87.9,84.2,90
E02000227,Croydon 034,19.74,17.68,20.66,27.38,14.54,25.2,19.1,21.8,13.1,32.4,80,6,8.9,3,5.4,33018,74.2,11.8,18.3,85.3,47.2,26.8,89.7,83.1,86.1
E02000228,Croydon 035,17.56,13.9,16.13,31.08,21.33,24.5,24.4,27.9,5.2,22.2,79.5,11.7,3.8,2.1,3.7,56797,70.8,6.1,10.3,86,52.2,17.9,89.8,84.2,86.8
E02000229,Croydon 036,26.5,19.01,19.3,21.51,13.68,49.5,19.5,16.3,24.7,26.4,74.7,3.6,15.1,4.7,11.6,20645,65.3,33.2,40,79.6,42.4,30.3,113.6,75.5,79.1
E02000230,Croydon 037,18.39,17.45,21.77,26.41,15.98,38.9,20.3,24.7,9.9,28.6,68.3,15.5,7.9,6.2,5,46726,72.4,11.5,23.4,84.6,50.2,18.7,96.8,81.2,84.2
E02000231,Croydon 038,18.7,16.55,15.72,31.72,17.31,23,28.5,27.7,6.1,15.7,67.5,21,5.5,4.6,4.2,58777,70.6,8.2,8,85.3,52.1,17.5,103.1,79.3,80.8
E02000232,Croydon 039,19.72,15.32,17.77,28.71,18.48,14.3,23.8,24.7,10.3,21.3,83,8,4.5,2.8,4.7,40983,71,10.5,12.9,84,48.3,24.4,94.8,79.4,82.1
E02000233,Croydon 040,21.68,15.68,24.42,23.11,15.11,39.3,23.6,23.1,12.7,25.3,75.3,10.5,7.9,4.5,6.4,41588,73.5,12.2,16.8,85.5,50.4,22.8,83.2,79.6,80.1
E02000234,Croydon 041,20.63,17.03,20.15,27.89,14.3,26.4,21.7,24.1,11.9,26.7,73.7,10.7,7.8,4.4,6,41247,73,11.1,20.7,85.9,49.4,22.3,87.5,80.8,84.9
E02000235,Croydon 042,21.04,14.47,20.34,29.22,14.94,13.3,25.8,26.7,11.5,21.8,81.3,7.7,5.7,2.8,5.2,48017,74.6,7.2,12.4,87.2,52.1,21.7,100.8,81.3,83.4
E02000236,Croydon 043,21.19,14.68,20.32,29.22,14.6,21.7,26.7,26.8,10.7,20.4,84.1,7,4.1,1.3,4.5,45181,74.2,8.9,11.5,87.8,50.5,23.9,97.9,80.9,86.3
E02000237,Croydon 044,18.34,13.89,16.95,28.92,21.9,15.3,22.3,24.3,9.7,26.8,86,4.3,4.3,1.6,5.7,40645,70.5,12.9,19.1,82.2,45.4,24.1,91,81.8,84.9
E02006788,Croydon 045,25.66,19.14,22.71,24,8.48,54.9,18.9,15.7,26.6,26.3,50.2,8.2,30.8,7.1,8.7,26909,72.4,27.7,36.8,85.1,45.8,28.5,108.1,79.9,80.1
E02000238,Ealing 001,22.44,20.06,26.36,21.66,9.47,64,23.7,17.5,13.3,22.9,47.7,30.8,13.6,26.3,6.8,29229,72.9,20.1,24.2,87,46.9,23.7,91.2,78.1,84.4
E02000239,Ealing 002,18.67,22.3,22.94,23.3,12.79,38.5,20.5,21.1,9.7,18.9,41.6,41.1,9.3,27.9,6.2,33760,74.7,18.1,22.2,87.7,45.9,20,77.4,82.3,87.5
E02000240,Ealing 003,25.16,19.05,24.99,20.55,10.26,60.3,19.7,16,20.4,26,47.2,25.5,17.3,23.4,9,25369,68.9,24.1,34,84.7,45.2,25.7,98.1,78,84.7
E02000241,Ealing 004,20.15,20.24,26.18,21.92,11.51,52,21,19.2,12.8,23.2,51.2,29.3,11.9,25,6.3,30465,72.9,18,25.4,88,47.3,22.6,84.1,85.7,86.2
E02000242,Ealing 005,20.86,22.24,23.82,22.83,10.25,78,23.2,19.2,10.7,19.2,36.4,44.4,7,35.4,7,29655,71.6,24.2,25.1,86.5,45.3,18.6,95.9,80.1,82.9
E02000243,Ealing 006,20.16,21.07,25.01,21.65,12.12,30.2,20.4,16.9,13.8,27.1,49,27.3,12.4,26.6,7.4,29187,72.1,25.7,29.8,85,43.9,20.5,89.8,78.1,81.4
E02000244,Ealing 007,19.66,20.08,26.95,21.85,11.46,40.8,20.6,20.9,10.7,26.1,53.9,22.9,8.4,30.6,5.6,32152,73.4,18.5,24.8,87.4,47.3,18.3,84,81.6,87.1
E02000245,Ealing 008,25.71,20.64,23.93,20.78,8.94,50.1,19.2,13.7,20,33.3,43.5,25.3,20.5,24.5,11.5,22255,67.3,35.3,41.3,83.3,44.7,26,87.1,78.8,83.5
E02000246,Ealing 009,26.28,20.32,21.52,21.73,10.14,42.7,21.9,14.1,20.1,26.6,45.5,23.8,18.9,22.9,10.7,24459,66.9,27.6,33.5,84.4,46.5,26.6,99.4,77.3,81.2
E02000247,Ealing 010,24.51,20.08,25.31,18.9,11.2,74.2,21.9,15.1,16.9,28.7,42.2,29.6,16.5,26,8.8,26048,69.3,28.7,31.6,84.3,46.5,23.8,80.5,78.4,81
E02000248,Ealing 011,18.12,23,28.16,19.2,11.52,42.9,18.3,19.3,10.3,30.6,53,23.7,5.8,32.8,6.2,38267,73.6,15.9,29.7,87.7,51.3,13.7,85.1,82.4,84.6
E02000249,Ealing 012,20.88,21.12,24.12,21.21,12.67,61.2,20.3,15.7,12.3,27.1,45,32,11.6,29.5,7.6,28013,71,26.2,33.5,84.7,46.7,19.8,91.8,81,83.1
E02000250,Ealing 013,20.75,14.77,23.42,26.56,14.51,64.9,26.6,21.2,7.4,28.1,75.8,11.8,2.5,12,4.1,61772,73.4,9.9,20.7,88.2,56.1,12.5,85.7,81.5,87.6
E02000251,Ealing 014,20.66,22.27,21.9,24.51,10.66,83.7,22.5,20.1,12.8,18.1,27.9,51.6,10.7,29.1,7.5,28532,71.2,23.6,23.2,86.1,46.1,18.8,106.7,78.3,83.6
E02000252,Ealing 015,18.5,28.76,27.93,17.05,7.76,30.8,14.1,14.2,16.7,31.9,48.8,17.1,17.6,26.7,8.7,26595,72.1,27.2,50.7,86.3,48.6,19.8,94.1,79.1,85.1
E02000253,Ealing 016,23.47,18.12,24.5,21.38,12.53,83.7,19.8,12.9,19,32.4,54.7,17.3,15.3,23.5,9,26097,66.7,37.1,41.4,81.1,44.7,21.1,91.3,76.7,83
E02000254,Ealing 017,19.91,23.33,22.01,23.44,11.3,85.8,24,19.3,10.8,15.8,12.6,72,6.5,31.7,7.8,25997,68.4,31.2,24.1,84.4,44.1,21.3,72.4,77.9,80.2
