MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000250,Ealing 013,88.2,56.1,12.5,85.7,81.5,87.6
E02000251,Ealing 014,86.1,46.1,18.8,106.7,78.3,83.6
E02000252,Ealing 015,86.3,48.6,19.8,94.1,79.1,85.1
E02000253,Ealing 016,81.1,44.7,21.1,91.3,76.7,83
E02000254,Ealing 017,84.4,44.1,21.3,72.4,77.9,80.2
E02000255,Ealing 018,86.7,52.7,16.5,97.5,77.1,83.5
E02000256,Ealing 019,88.2,54.1,11.8,91.1,77.2,84.4
E02000257,Ealing 020,88.3,54.5,11.4,85.9,80.1,84.6
E02000258,Ealing 021,87.9,52.1,15.7,107.1,79.2,85.2
E02000259,Ealing 022,88.3,51.4,13.9,96.1,77.6,86.7
E02000260,Ealing 023,82.4,44.3,18.1,63.1,77,83.6
E02000261,Ealing 024,86.4,52.1,18.5,106,77.9,84.6
E02000262,Ealing 025,85.4,50.4,14.2,92.4,75,86
E02000263,Ealing 026,82.7,43.9,19.7,76.6,77.8,79.8
E02000264,Ealing 027,87.9,53.3,12.1,93.3,78.9,81.8
E02000265,Ealing 028,85.9,50.9,16.4,86.7,77.4,81.7
E02000266,Ealing 029,80.6,46.1,23.1,85.5,76.7,80.2
E02000267,Ealing 030,87.7,52.5,15.2,106.4,72.9,85.2
E02000268,Ealing 031,86.7,52.7,14,95.9,78,83.6
E02000269,Ealing 032,89.4,56.7,12.2,91.2,81.6,82.7
E02000270,Ealing 033,83.8,47.7,19.6,88.5,81.6,85.4
E02000271,Ealing 034,91,60.3,11.9,121.3,80.8,86.1
E02000272,Ealing 035,87.8,51.8,14.1,97.8,79.9,85.4
E02000274,Ealing 037,84.7,45.4,21.6,77,77.9,85.3
E02000275,Ealing 038,81.1,45.3,18.6,62.6,79.1,82.5
E02000276,Ealing 039,90,55.8,12.6,103.9,77.3,84
E02006791,Ealing 040,88.8,56.4,14.7,83.8,80.3,83.9
E02000277,Enfield 001,84.3,44.7,28.8,92.3,80,81.1
E02000278,Enfield 002,82.1,43.5,27.1,95.6,75.8,80.9
E02000279,Enfield 003,86.3,48.1,25.9,112.8,78.3,81.4
E02000280,Enfield 004,84.1,49,22.3,111,78.2,84.1
E02000281,Enfield 005,84.1,45.8,26.3,81.5,76.8,80.6
E02000282,Enfield 006,83.9,44.2,29.5,91.3,76,81.1
E02000283,Enfield 007,85.1,45.6,27.9,83.7,81.4,86.6
E02000284,Enfield 008,85,49.3,20.1,84.9,81.3,85.6
E02000285,Enfield 009,85.9,48.3,22.8,94.8,80.3,84.6
E02000286,Enfield 010,83.5,48.3,17.5,85.6,82.8,87.1
E02000287,Enfield 011,84.6,51.6,16.8,82.2,81.8,84.6
E02000288,Enfield 012,84,45.2,24.3,112,78.5,80.9
E02000289,Enfield 013,84.8,48.3,19,93.9,82.4,89
E02000290,Enfield 014,85,44.8,26.4,85,74.9,83.3
E02000291,Enfield 015,84.1,46.3,21.6,84.7,79.1,82
E02000292,Enfield 016,86.1,47.2,24.1,99.9,79.1,85.5
E02000293,Enfield 017,85.8,51.8,19.1,94.2,84.3,85.8
E02000294,Enfield 018,84,45.3,25.8,96,78.5,82.4
E02000295,Enfield 019,84.8,49.9,17.4,92.4,80.4,82.7
E02000296,Enfield 020,84,45.5,17.7,80.5,80.2,84.2
