MSOA code,Total_Death
E02001533,35
E02001534,43
E02001535,13
E02001536,22
E02001537,24
E02001538,18
E02001539,9
E02001540,43
E02001541,41
E02001542,23
E02001543,24
E02001544,34
E02001545,21
E02001546,24
E02001547,37
E02001548,31
E02001549,12
E02001550,18
E02001551,15
E02001552,15
E02001553,17
E02001554,11
E02001555,15
E02001556,16
E02001557,24
E02001558,15
E02001559,30
E02001560,14
E02001561,21
E02001562,15
E02001563,27
E02001564,14
E02001565,14
E02001566,13
E02001567,40
E02001568,11
E02001569,19
E02001570,31
E02001571,12
E02001572,18
E02001573,21
E02001574,7
E02001575,23
E02001576,4
E02001577,20
E02001578,26
E02001579,38
E02001580,24
E02001581,18
E02001582,23
E02001583,6
E02001584,13
E02001585,29
E02001586,26
E02001587,15
E02001588,31
E02001589,15
E02001590,22
E02001591,14
E02001592,15
E02001593,20
E02001594,28
E02001595,18
E02001596,37
E02001597,30
E02001598,30
E02001599,17
E02001600,25
E02001601,25
E02001602,19
E02001603,11
E02001604,32
E02001605,27
E02001606,30
E02001607,17
E02001608,18
E02001609,24
E02001610,22
E02001611,30
E02001612,4
E02001613,20
E02001614,38
E02001615,18
E02001616,18
E02001617,11
E02001618,17
E02001619,18
E02001620,5
E02001621,21
E02001622,15
E02001623,29
E02001624,19
E02001625,28
E02001626,11
E02001627,5
E02001628,14
E02001629,31
E02001630,78
E02001631,19
E02001632,28
E02001633,18
E02001634,12
E02001635,9
E02001636,9
E02001637,9
E02001638,1
E02001639,13
E02001640,15
E02001642,29
E02001643,10
E02001646,6
E02001647,15
E02001648,8
E02001649,14
E02001650,11
E02001651,13
E02001652,8
E02001653,12
E02001654,32
E02001655,18
E02001656,6
E02001657,1
E02001658,12
E02001659,17
E02001660,19
E02001661,25
E02001662,32
E02001663,24
E02001664,15
E02001665,13
E02001666,11
E02001669,10
E02001670,19
E02001671,12
E02001672,16
E02001673,12
E02001674,36
E02001675,25
E02001676,14
E02001678,23
E02001679,12
E02001680,21
E02001681,16
E02001682,13
E02001683,39
E02001684,14
E02001685,13
E02001686,14
E02001688,28
E02001689,32
E02001690,7
E02001691,13
E02001692,6
E02001693,12
E02001694,6
E02001695,9
E02001696,18
E02001697,25
E02001698,10
E02001699,9
E02001700,17
E02001701,21
E02001702,15
E02001703,10
E02001704,8
E02001705,19
E02001706,13
E02001707,30
E02001708,18
E02001709,11
E02001710,26
E02001711,27
E02001712,14
E02001713,12
E02001714,13
E02001715,34
E02001718,15
E02001719,15
E02001720,7
E02001721,23
E02001722,12
E02001723,8
E02001724,21
E02001725,18
E02001726,15
E02001727,13
E02001728,20
E02001729,17
E02001730,4
E02001731,8
E02001732,3
E02001733,37
E02001734,22
E02001735,29
E02001736,17
E02001737,14
E02001738,9
E02001739,16
E02001740,8
E02001741,15
E02001742,4
E02001743,18
E02001744,25
E02001745,10
E02001746,17
E02001747,9
E02001748,13
E02001749,20
E02001750,19
E02001751,12
E02001752,19
E02001753,5
E02001754,16
E02001755,15
E02001756,17
E02001757,9
E02001758,8
E02001759,15
E02001760,8
E02001761,15
E02001762,8
E02001763,13
E02001764,24
E02001765,28
E02001766,6
E02001767,30
E02001768,23
E02001769,31
E02001770,20
E02001771,21
E02001772,13
E02001773,13
E02001774,22
E02001775,37
E02001776,37
E02001777,36
E02001778,15
E02001779,22
E02001780,15
E02001781,12
E02001782,29
E02001783,13
E02001784,9
E02001785,19
E02001786,17
E02001787,9
E02001788,16
E02001789,8
E02001790,11
E02001791,9
E02001792,29
E02001793,19
E02001794,37
E02001795,40
E02001796,19
E02001797,16
E02001798,19
E02001799,30
E02001800,6
E02001801,10
E02001802,17
E02001803,16
E02001804,36
E02001805,30
E02001806,18
E02001807,19
E02001808,7
E02001809,10
E02001810,9
E02001811,11
E02001812,34
E02001813,20
E02001814,10
E02001815,26
E02001816,30
E02001817,17
E02001818,18
E02001819,13
E02001820,16
E02001821,16
E02001822,35
E02001823,39
E02001824,25
E02001825,53
E02001826,16
E02001827,17
E02001828,14
E02001829,15
E02001830,22
E02001831,14
E02001832,12
E02001833,14
E02001834,16
E02001835,26
E02001836,22
E02001837,23
E02001838,30
E02001839,15
E02001840,28
E02001841,18
E02001842,22
E02001843,26
E02001844,55
E02001845,8
E02001846,17
E02001847,9
E02001848,25
E02001849,11
E02001850,23
E02001851,26
E02001852,22
E02001854,25
E02001855,42
E02001856,11
E02001857,28
E02001858,16
E02001859,24
E02001860,21
E02001861,39
E02001862,31
E02001863,21
E02001864,10
E02001865,37
E02001866,34
E02001867,34
E02001868,28
E02001869,21
E02001870,42
E02001871,22
E02001872,25
E02001873,20
E02001874,23
E02001875,18
E02001876,15
E02001877,34
E02001878,21
E02001879,47
E02001880,27
E02001881,22
E02001882,24
E02001883,17
E02001884,15
E02001886,24
E02001888,14
E02001889,27
E02001890,21
E02001892,22
E02001893,23
E02001895,45
E02001896,26
E02001897,14
E02001898,8
E02001899,24
E02001900,19
E02001901,12
E02001902,18
E02001903,28
E02001904,21
E02001905,21
E02001906,14
E02001907,17
E02001908,23
E02001909,48
E02001910,22
E02001911,13
E02001913,15
E02001914,26
E02001915,42
E02001916,23
E02001918,24
E02001919,22
E02001920,7
E02001921,16
E02001922,4
E02001923,28
E02001924,11
E02001925,10
E02001926,23
E02001927,23
E02001928,12
E02001929,21
E02001930,8
E02001931,18
E02001932,6
E02001933,14
E02001934,20
E02001935,18
E02001936,16
E02001937,22
E02001938,11
E02001939,17
E02001941,32
E02001942,23
E02001943,13
E02001944,15
E02001945,9
E02001946,12
E02001947,11
E02001948,24
E02001949,11
E02001950,14
E02001951,13
E02001952,16
E02001953,34
E02001954,11
E02001955,27
E02001956,8
E02001957,16
E02001958,12
